sub_industry,Industry,sector,sic_code,sic_description
Neurosurgery,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
New & Used Car Sales,Automobiles,Automotive,45112,Sale of used cars and light motor vehicles
New & Used Scania Vehicle Sales,Automobiles,Automotive,45190,Sale of other motor vehicles
New & Used Spare Parts,Auto Components,Automotive,45310,Wholesale trade of motor vehicle parts and accessories
New & Used Vehicle Sales,Automobiles,Automotive,45112,Sale of used cars and light motor vehicles
New Age Shops,Specialty Retail,Retail,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
Organic Dairy,Food & Beverage Industry,Manufacturing & Industrials,10511,Liquid milk and cream production
New Product Development,Product Development & Quality Control,Professional Services,72200,Research and experimental development on social sciences and humanities
New World Whisky,Beverage Distribution,Consumer Goods & Services,11010,"Distilling, rectifying and blending of spirits"
News & Photo Agencies,Media Production & Services,"Media, Publishing & Entertainment",63910,News agency activities
Newsagents,General Retail & Services,Retail,47620,Retail sale of newspapers and stationery in specialised stores
Newspaper & Magazine Publishers,Publishing,"Media, Publishing & Entertainment",58130,Publishing of newspapers
Newspaper Wholesale,Media Production & Services,"Media, Publishing & Entertainment",46431,"Wholesale of audio tapes, records, CDs and video tapes and the equipment on which these are played"
Next Day International Logistics & Storage,Logistics & Transportation,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Next Day Parcel Delivery,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers
NFC,Electronic Equipment & Components,Manufacturing & Industrials,62090,Other information technology service activities
NGO,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
NHS,Health Care Providers & Services,Healthcare,86101,Hospital activities
Nickel Aluminium Bronze Valves,Metal Fabrication,Manufacturing & Industrials,28140,Manufacture of taps and valves
Night Clubs,"Pubs, Bars & Inns",Hospitality,56301,Licenced clubs
Nightvision,Electronic Equipment & Components,Manufacturing & Industrials,26701,Manufacture of optical precision instruments
Non Hazardous Tankering,Recycling & Waste Management,Manufacturing & Industrials,38110,Collection of non-hazardous waste
Nonalcoholic Drinks & Zero Proof Beverages,Beverage Distribution,Consumer Goods & Services,11070,Manufacture of soft drinks; production of mineral waters and other bottled waters
Noncarbonated Beverage Production & Conversion,Beverage Distribution,Consumer Goods & Services,11070,Manufacture of soft drinks; production of mineral waters and other bottled waters
Non-destructive Testing (NDT) Engineer,Product Development & Quality Control,Manufacturing & Industrials,71200,Technical testing and analysis
Non-Ferrous Metals,Materials & Metals,Manufacturing & Industrials,24450,Other non-ferrous metal production
Nonprofits,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
Nonsurgical Facial Rejuvenation,Personal Care & Services,Consumer Goods & Services,86900,Other human health activities
Nonsurgical Treatments,Personal Care & Services,Consumer Goods & Services,86900,Other human health activities
Notary Publics,Legal Services,Professional Services,69109,Activities of patent and copyright agents; other legal activities n.e.c.
Notebooks,Gifts & Stationery,Manufacturing & Industrials,17230,Manufacture of paper stationery
Novelty Balloons,Gifts & Stationery,Consumer Goods & Services,46900,Non-specialised wholesale trade
Novelty Products,Specialty Retail,Retail,47620,Retail sale of newspapers and stationery in specialised stores
Nuclear Waste Remediation,Recycling & Waste Management,Manufacturing & Industrials,39000,Remediation activities and other waste management services
Nudist Club,Travel & Leisure,Hospitality,93290,Other amusement and recreation activities n.e.c.
Nukeproof,Safety Engineering,Manufacturing & Industrials,25610,Treatment and coating of metals
Number Plates,Auto Components,Automotive,29320,Manufacture of other parts and accessories for motor vehicles
Numerical Weather Prediction,Professional & Commercial Services,Professional Services,74901,Environmental consulting activities
Nurse Clinics,Health Care Providers & Services,Healthcare,86900,Other human health activities
Nurseries & Creche,Specialized Consumer Services,Consumer Goods & Services,88910,Child day-care activities
"Nursery - Trees, Shrubs & Bonsai",Horticulture,Agriculture & Farming,01300,Plant propagation
Nursery Schools,Education Services,Education,85100,Pre-primary education
"Nurserymen - Trees, Shrubs & Bonsai",Horticulture,Agriculture & Farming,01300,Plant propagation
Nursing Care,Health Care Providers & Services,Healthcare,87100,Residential nursing care facilities
Nursing Homes,Health Care Providers & Services,Healthcare,87100,Residential nursing care facilities
Nutraceuticals,Pharmaceuticals,Pharmaceuticals & Biotechnology,10890,Manufacture of other food products n.e.c.
Nutrition & Health Care Advice/Counselling,Health Care Providers & Services,Healthcare,86900,Other human health activities
Nutritional Products,Food & Beverage Industry,Consumer Goods & Services,10890,Manufacture of other food products n.e.c.
"Nuts, Bolts & Washers",Manufacturing & Industrials,Manufacturing & Industrials,25940,Manufacture of fasteners and screw machine products
Occupational Safety and Health,Safety Engineering,Professional Services,74909,"Other professional, scientific and technical activities n.e.c."
Occupational Therapy,Health Care Providers & Services,Healthcare,86900,Other human health activities
Office Catering,Catering & Contract Catering,Hospitality,56210,Event catering activities
Office Clearance,Facilities Management,Professional Services,81100,Combined facilities support activities
Office Coffee Solutions,Office Services,Professional Services,46370,"Wholesale of coffee, tea, cocoa and spices"
Office Equipment Manufacturers & Distributors,Office Equipment,Manufacturing & Industrials,46660,Wholesale of other office machinery and equipment
Office Equipment Servicing & Maintenance,Industrial Equipment & Supplies,Manufacturing & Industrials,33190,Repair of other equipment
Office Fit Out,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Office Furniture & Equipment,Office Equipment,Retail,46660,Wholesale of other office machinery and equipment
Office Furniture & Equipment Hire,Equipment Rental,Manufacturing & Industrials,77390,"Renting and leasing of other machinery, equipment and tangible goods n.e.c."
Office Furniture Installation,Professional & Commercial Services,Professional Services,31010,Manufacture of office and shop furniture
Office Hot Drinks,Office Services,Professional Services,46370,"Wholesale of coffee, tea, cocoa and spices"
Office Planning & Design Services,Interior Design,Professional Services,74100,Specialised design activities
Office Premises - Retail,Real Estate,Real Estate,68209,Other letting and operating of own or leased real estate
Office Recycling,Recycling & Waste Management,Manufacturing & Industrials,38110,Collection of non-hazardous waste
Office Refurbishment Services,Construction & Engineering,Construction & Materials,41201,Construction of commercial buildings
Office Removals,Moving & Removal Services,Consumer Goods & Services,49420,Removal services
Office Services,Business Support Services,Professional Services,82110,Combined office administrative service activities
Office Space,Real Estate,Real Estate,68209,Other letting and operating of own or leased real estate
Office Stationery Supplies & Retail,Office Equipment,Retail,47620,Retail sale of newspapers and stationery in specialised stores
Office Supplies,Office Equipment,Retail,46660,Wholesale of other office machinery and equipment
Official Control,Public Sector & Government,Public Sector & Government,84110,General public administration activities
Offsite Catering,Catering & Contract Catering,Hospitality,56210,Event catering activities
Oil & Gas Exploration Supplies & Services,"Oil, Gas & Consumable Fuels",Utilities & Energy,09100,Support activities for petroleum and natural gas mining
Oil & Gas Extraction,"Oil, Gas & Consumable Fuels",Utilities & Energy,06200,Extraction of natural gas
Oil And Gas Companies,"Oil, Gas & Consumable Fuels",Utilities & Energy,06100,Extraction of crude petroleum
Oil Fired Heating Equipment,Mechanical Engineering,Manufacturing & Industrials,32990,Other manufacturing n.e.c.
Oil Fuel Distributors,Fuel & Energy,Utilities & Energy,46719,Wholesale of other fuels and related products
Oil Spill Response,Environmental Engineering & Services,Manufacturing & Industrials,74901,Environmental consulting activities
Oil Tanks,"Oil, Gas & Consumable Fuels",Utilities & Energy,25290,"Manufacture of other tanks, reservoirs and containers of metal"
Oil Trading,Capital Markets,Financial Services,46711,Wholesale of petroleum and petroleum products
Packaged Fruit,Food & Beverage Industry,Manufacturing & Industrials,10390,Other processing and preserving of fruit and vegetables
Oleoresins,Chemical Products & Chemicals,Manufacturing & Industrials,10890,Manufacture of other food products n.e.c.
Olive,Agriculture,Agriculture & Farming,01260,Growing of oleaginous fruits
On Board Courier,Logistics & Transportation,Transportation & Logistics,53202,Unlicensed carriers
On Trade & Off Licence,"Retail - Wines, Spirits & Beer",Retail,47250,Retail sale of beverages in specialised stores
On-Demand Food Delivery,Food Delivery & Service,Consumer Goods & Services,56103,Take-away food shops and mobile food stands
One Way Back Loads,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Online & Digital Marketing,Digital Services,Information Technology,73110,Advertising agencies
Online Agency,Marketing & Advertising,Marketing & Advertising,63120,Web portals
Online Audio and Video Media,Digital Services,Marketing & Advertising,59113,Television programme production activities
Online Booking,Online & Digital Services,Information Technology,63120,Web portals
Online Business Strategy,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Online Dating,Online & Digital Services,Information Technology,63120,Web portals
Online Food Delivery,Food Delivery & Service,Consumer Goods & Services,56103,Take-away food shops and mobile food stands
Online Fulfillment Portal,Logistics & Transportation,Transportation & Logistics,82990,Other business support service activities n.e.c.
Online Home Retailer,E-commerce,Information Technology,47910,Retail sale via mail order houses or via Internet
Online Marketplace,E-commerce,Information Technology,63120,Web portals
Online Motocross Shop,E-commerce,Information Technology,47910,Retail sale via mail order houses or via Internet
Online Ordering,E-commerce,Information Technology,47910,Retail sale via mail order houses or via Internet
Online Platform,Online & Digital Services,Information Technology,63120,Web portals
Online Reputation Management,Marketing & Advertising,Marketing & Advertising,63120,Web portals
Online Retail,E-commerce,Information Technology,47910,Retail sale via mail order houses or via Internet
Online Reviews,Online & Digital Services,Information Technology,63120,Web portals
Online Store,E-commerce,Information Technology,47910,Retail sale via mail order houses or via Internet
Online Supplier Assessments,Inventory & Supply Chain Management,Professional Services,70229,Management consultancy activities other than financial management
Online Travel,Travel & Leisure,Hospitality,79110,Travel agency activities
OOH Emergency Care,Health Care Providers & Services,Healthcare,86900,Other human health activities
Open Training Workshops,Education Services,Education,85590,Other education n.e.c.
Operational Excellence,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Operational Expertise,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Operational Leasing,Equipment Rental,Manufacturing & Industrials,64910,Financial leasing
Operations Consulting,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
"Operatives Housing Associations, Societies, Trusts & Co",Property Rental & Real Estate Services,Real Estate,68201,Renting and operating of Housing Association real estate
Ophthalmology,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Optical Goods Manufacturers,Optical Goods,Consumer Goods & Services,32500,Manufacture of medical and dental instruments and supplies
Orchard,Agriculture,Agriculture & Farming,01240,Growing of pome fruits and stone fruits
Organic & Natural Food,Food & Beverage Industry,Consumer Goods & Services,10890,Manufacture of other food products n.e.c.
Pies,Food & Beverage Industry,Manufacturing & Industrials,10850,Manufacture of prepared meals and dishes
Organic Farm,Agriculture,Agriculture & Farming,01500,Mixed farming
Organic Foods,Food & Beverage Industry,Consumer Goods & Services,10890,Manufacture of other food products n.e.c.
Organic Herbal Tea,Beverage Distribution,Consumer Goods & Services,10831,Tea processing
Organs & Organ Accessories Sales & Service,Music Equipment,Consumer Goods & Services,47630,Retail sale of music and video recordings in specialised stores
Oriental Carpets & Rugs,Furniture,Retail,47530,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
Oriental Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Ornamental Metalwork,Metal Fabrication,Manufacturing & Industrials,25990,Manufacture of other fabricated metal products n.e.c.
Ornithology,Research & Development Services,Professional Services,72200,Research and experimental development on social sciences and humanities
Orthocare Medical Equipment,Medical Devices & Services,Healthcare,32500,Manufacture of medical and dental instruments and supplies
Orthodontist,Health Care Providers & Services,Healthcare,86230,Dental practice activities
Orthopaedic,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Orthopedic Surgery,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Orthotic Insoles,Medical Devices & Services,Healthcare,32500,Manufacture of medical and dental instruments and supplies
Orthotics & Prosthetics Centre,Medical Devices & Services,Healthcare,32500,Manufacture of medical and dental instruments and supplies
Osteopaths,Health Care Providers & Services,Healthcare,86900,Other human health activities
Other Helplines,Health Care Providers & Services,Healthcare,88990,Other social work activities without accommodation n.e.c.
Otolaryngology Clinic,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Out Equipment Cash Registers & Check,Office Equipment,Retail,46660,Wholesale of other office machinery and equipment
Outdoor & Garden,Garden Supplies,Retail,47520,"Retail sale of hardware, paints and glass in specialised stores"
Outdoor Clothing & Equipment,Apparel,Retail,47710,Retail sale of clothing in specialised stores
Outdoor Food,Food Delivery & Service,Hospitality,47290,Other retail sale of food in specialised stores
Outdoor Leisure,Travel & Leisure,Hospitality,93290,Other amusement and recreation activities n.e.c.
Outdoor Pursuit Organisers,Events Management,Professional Services,93199,Other sports activities
Outdoor Pursuits Equipment Rental,Equipment Rental,Manufacturing & Industrials,77210,Renting and leasing of recreational and sports goods
"Outdoor, Garden & Patio Furniture",Furniture,Manufacturing & Industrials,31090,Manufacture of other furniture
"Outdoor, Garden & Patio Furniture Wholesalers",Furniture,Manufacturing & Industrials,46470,"Wholesale of furniture, carpets and lighting equipment"
Outlet Centres Development & Management,Property Rental & Real Estate Services,Real Estate,68209,Other letting and operating of own or leased real estate
Out-of-home Advertising,Marketing & Advertising,Marketing & Advertising,73120,Media representation services
Outsourced Logistics,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Outsourced Purchasing,Inventory & Supply Chain Management,Professional Services,82990,Other business support service activities n.e.c.
Outsourced Waste Management Solutions,Recycling & Waste Management,Manufacturing & Industrials,38110,Collection of non-hazardous waste
Oven Cleaning,Specialized Consumer Services,Consumer Goods & Services,81229,Other building and industrial cleaning activities
Oven Manufacturers,Household Goods & Services,Manufacturing & Industrials,27510,Manufacture of electric domestic appliances
Overnight Shipping,Logistics & Transportation,Transportation & Logistics,53202,Unlicensed carriers
Overseas Business Expansion,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Overseas Property Agents,Property Rental & Real Estate Services,Real Estate,68310,Real estate agencies
Overseas Warehousing,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Oversize Cargo,Logistics & Transportation,Transportation & Logistics,50200,Sea and coastal freight water transport
Own Brand Drinks Creation,Beverage Distribution,Consumer Goods & Services,11070,Manufacture of soft drinks; production of mineral waters and other bottled waters
Owner Managed Companies & Contractors,Business Support Services,Professional Services,70229,Management consultancy activities other than financial management
Oxygen cocktail spot,"Pubs, Bars & Inns",Hospitality,56302,Public houses and bars
Packaged Beer,Food & Beverage Industry,Consumer Goods & Services,46341,"Wholesale of fruit and vegetable juices, mineral water and soft drinks"
Plant-based Protein,Food & Beverage Industry,Manufacturing & Industrials,10890,Manufacture of other food products n.e.c.
Packaging & Containers,Packaging & Paper Products,Manufacturing & Industrials,22220,Manufacture of plastic packing goods
Packaging & Wrapping Equipment & Supplies,Packaging & Paper Products,Manufacturing & Industrials,46660,Wholesale of other office machinery and equipment
Packaging Materials Manufacturers & Suppliers,Packaging & Paper Products,Manufacturing & Industrials,82920,Packaging activities
Packers,Moving & Removal Services,Consumer Goods & Services,82920,Packaging activities
Packets,Packaging & Paper Products,Manufacturing & Industrials,17219,Manufacture of other paper and paperboard containers
Packing & Moving,Moving & Removal Services,Consumer Goods & Services,49420,Removal services
Paging Systems,Telecommunication Services & Engineering,Telecommunications,61900,Other telecommunications activities
Pain Control Clinic,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Paint & Varnish Stripping,Specialized Consumer Services,Consumer Goods & Services,43341,Painting
Paint Manufacturer,Chemical Products & Chemicals,Construction & Materials,20301,"Manufacture of paints, varnishes and similar coatings, mastics and sealants"
Paint Shop,Building Materials & Products,Retail,47520,"Retail sale of hardware, paints and glass in specialised stores"
"Paint Sprayers, Spray Guns, & Accessories Supplies",Industrial Equipment & Supplies,Manufacturing & Industrials,43341,Painting
Paintball Games,Entertainment Services,"Media, Publishing & Entertainment",93199,Other sports activities
Paintball Suppliers,Sporting Goods,Consumer Goods & Services,32300,Manufacture of sports goods
Painters & Decorators,Construction & Engineering,Construction & Materials,43341,Painting
Painting & Decorating Supplies,Home Improvement,Retail,47520,"Retail sale of hardware, paints and glass in specialised stores"
Painting Contractors,Construction & Engineering,Construction & Materials,43341,Painting
Painting Studio,Art & Craft,"Media, Publishing & Entertainment",90030,Artistic creation
"Paints, Lacquers, And Varnishes",Chemical Products & Chemicals,Construction & Materials,20301,"Manufacture of paints, varnishes and similar coatings, mastics and sealants"
Pallet & Parcel Distribution,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers
Pallet Delivery,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers
Pallet Furniture,Furniture,Manufacturing & Industrials,16290,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
Pallet Management Software,Software Development & Services,Information Technology,62012,Business and domestic software development
Pallet Network,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers
Pallet Racking,Material Handling Equipment & Systems,Manufacturing & Industrials,52103,Operation of warehousing and storage facilities for land transport activities
Pallet Racking Systems,Material Handling Equipment & Systems,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment
Pallet Repairs,Specialized Consumer Services,Consumer Goods & Services,33190,Repair of other equipment
Pallet Storage,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Palletised & Nonpalletised Goods,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Palletised Deliveries,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Palletised Distribution,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers
"Pallets, Crates & Packing Cases",Packaging & Paper Products,Manufacturing & Industrials,16240,Manufacture of wooden containers
Pallex Overnight Pallet Distribution,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers
Palliative Care And Hospice Care,Health Care Providers & Services,Healthcare,86102,Medical nursing home activities
Paper & Board Supplies,Paper Manufacturing & Distribution,Construction & Materials,17120,Manufacture of paper and paperboard
Paper & Cardboard Products & Packaging,Packaging & Paper Products,Manufacturing & Industrials,17219,Manufacture of other paper and paperboard containers
Paper Merchants,Paper Manufacturing & Distribution,Retail,46760,Wholesale of other intermediate products
Paper Pattern Makers,Apparel,Manufacturing & Industrials,74100,specialised design activities
Paper Waste Merchants & Collectors,Recycling & Waste Management,Manufacturing & Industrials,38110,Collection of non-hazardous waste
Parachuting,Travel & Leisure,Hospitality,93199,Other sports activities
Paragliding & Hang Gliding,Travel & Leisure,Hospitality,93199,Other sports activities
Parcel Services,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers
Parties & Private Functions,Events Management,Professional Services,93290,Other amusement and recreation activities n.e.c.
Partitions & Cubicles/Refurbishment Service,Construction & Engineering,Construction & Materials,43390,Other building completion and finishing
Partnerships,Business Support Services,Professional Services,69109,Activities of patent and copyright agents; other legal activities n.e.c.
Party Goods & Novelties,Specialty Retail,Retail,47620,Retail sale of newspapers and stationery in specialised stores
Party Organisers,Events Management,Professional Services,93290,Other amusement and recreation activities n.e.c.
Party Plan Agents,Sales & Marketing,Professional Services,46190,Agents involved in the sale of a variety of goods
Passport Services,Public Sector & Government,Public Sector & Government,84110,General public administration activities
Pastured Farming,Agriculture,Agriculture & Farming,01450,Raising of sheep and goats
Patent Agents,Legal Services,Professional Services,69109,Activities of patent and copyright agents; other legal activities n.e.c.
Patent Services,Legal Services,Professional Services,69109,Activities of patent and copyright agents; other legal activities n.e.c.
Paternity Testing (DNA),Laboratory Services,Healthcare,71200,Technical testing and analysis
Patient Advocacy,Health Care Providers & Services,Healthcare,86900,Other human health activities
Patio & Driveway Cleaning & Services,Grounds Maintenance & Landscaping,Construction & Materials,81299,Other cleaning services
Patio Doors Supplier / Installer,Construction & Engineering,Construction & Materials,43320,Joinery installation
Pattern & Sample Books,Printing Services & Engineering,Manufacturing & Industrials,18129,Printing n.e.c.
Paving & Driveway Contractors,Construction & Engineering,Construction & Materials,43390,Other building completion and finishing
Paving Supplies,Building Materials & Products,Construction & Materials,46730,"Wholesale of wood, construction materials and sanitary equipment"
Pawnbrokers,Consumer Finance,Financial Services,64929,Other credit granting n.e.c.
Payday Loans & Cheque Cashing,Consumer Finance,Financial Services,64929,Other credit granting n.e.c.
Payment Solution,Fintech,Financial Services,62090,Other information technology service activities
Payroll Services,Professional & Commercial Services,Professional Services,69202,Bookkeeping activities
PC/Laptop Manufacturers & OEM Manufacturers,Technology Hardware & Peripherals,Manufacturing & Industrials,26200,Manufacture of computers and peripheral equipment
Peaceful Civil Disobedience,Civic & Social Organizations,Public Sector & Government,94920,Activities of political organisations
Pension Consultants,Financial Services,Financial Services,66290,Other activities auxiliary to insurance and pension funding
Pensions,Financial Services,Financial Services,65300,Pension funding
Performance Analysis,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Performance Wear,Apparel,Consumer Goods & Services,14190,Manufacture of other wearing apparel and accessories n.e.c.
Perfume Store,Personal Care & Services,Consumer Goods & Services,47750,Retail sale of cosmetic and toilet articles in specialised stores
Personal Branding,Marketing & Advertising,Marketing & Advertising,70210,Public relations and communications activities
Premium Food,Food & Beverage Industry,Manufacturing & Industrials,10890,Manufacture of other food products n.e.c.
Personal Caring Service,Health Care Providers & Services,Healthcare,88100,Social work activities without accommodation for the elderly and disabled
Personal Chef,Catering & Contract Catering,Hospitality,56290,Other food services
Personal Development,Education Services,Professional Services,85590,Other education n.e.c.
Personal Service,Personal Care & Services,Consumer Goods & Services,96090,Other service activities n.e.c.
Personal Tax Returns,Financial Services,Professional Services,69203,Tax consultancy
Personal Trainers,Hospitality Management & Services,Hospitality,85510,Sports and recreation education
Personal Wine Advisors,"Retail - Wines, Spirits & Beer",Retail,47250,Retail sale of beverages in specialised stores
Personalised Cards,Printing Services & Engineering,Manufacturing & Industrials,18129,Printing n.e.c.
Personalised Gifts,Gifts & Stationery,Retail,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
Personnel Supply,Human Resources & Employment Services,Professional Services,78109,Other activities of employment placement agencies
Peruvian Cuisine,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Peruvian Cuisines,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Pest Control,Pest Control Services,Consumer Goods & Services,81291,Disinfecting and exterminating services
Pest Control Services,Pest Control Services,Consumer Goods & Services,81291,Disinfecting and exterminating services
Pet Adoption,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Pet Boarding,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Pet Care,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Pet Cemeteries & Crematoria,Pet Services & Supplies,Consumer Goods & Services,96030,Funeral and related activities
Premium Snacks,Food & Beverage Industry,Manufacturing & Industrials,10890,Manufacture of other food products n.e.c.
Prepared Foods,Food & Beverage Industry,Manufacturing & Industrials,10850,Manufacture of prepared meals and dishes
Pet Food Suppliers,Pet Services & Supplies,Consumer Goods & Services,10920,Manufacture of prepared pet foods
Prepared Fruit & Fruit Packs,Food & Beverage Industry,Manufacturing & Industrials,10390,Other processing and preserving of fruit and vegetables
Pet Health,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Pet Insurance,Insurance,Financial Services,65120,Non-life insurance
Pet Nutrition,Pet Services & Supplies,Consumer Goods & Services,10920,Manufacture of prepared pet foods
Pet Products,Pet Services & Supplies,Consumer Goods & Services,32990,Other manufacturing n.e.c.
Pet Relocation & Pet Transport,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Pet Services,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Pet Shops & Pet Supplies,Pet Services & Supplies,Retail,47760,"Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores"
Pet Sitters Form & Contracts,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Pet Sitting,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Pet Taxi,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Pet Taxi Service,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Pet Weight Management,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Petroleum Products - Manufacturers,Petroleum Refining & Manufacturing,Utilities & Energy,19209,Other treatment of petroleum products (excluding petrochemicals manufacture)
Preserves,Food & Beverage Industry,Manufacturing & Industrials,10890,Manufacture of other food products n.e.c.
Phlebotomy,Laboratory Services,Healthcare,86900,Other human health activities
Phone Card Sales,Telecommunication Services & Engineering,Retail,47429,Retail sale of telecommunications equipment other than mobile telephones
Photo & Digital Imaging,Photography,"Media, Publishing & Entertainment",74202,Other specialist photography
Photo Studio Equipment Wholesaler & Dealers,Photography,"Media, Publishing & Entertainment",46660,Wholesale of other office machinery and equipment
Photocopier Toner & Photocopier Consumables,Office Equipment,Retail,46660,Wholesale of other office machinery and equipment
Photocopiers,Office Equipment,Retail,46660,Wholesale of other office machinery and equipment
Photocopying Faxing,Business Services,Professional Services,82190,"Photocopying, document preparation and other specialised office support activities"
Photographic Equipment Makers,Electronic Equipment & Components,Manufacturing & Industrials,26702,Manufacture of photographic and cinematographic equipment
Photographic Equipment Repairs,Specialized Consumer Services,Consumer Goods & Services,33130,Repair of electronic and optical equipment
Photographic Processors,Photography,"Media, Publishing & Entertainment",74202,Other specialist photography
Photographic Restoration,Photography,"Media, Publishing & Entertainment",74202,Other specialist photography
Photography Courses,Education Services,Education,85590,Other education n.e.c.
Photography Studios,Photography,"Media, Publishing & Entertainment",74201,Portrait photographic activities
Physical Activity,Health Care Providers & Services,Healthcare,93130,Fitness facilities
Physician Recruitment,Human Resources & Employment Services,Professional Services,78200,Temporary employment agency activities
Physiotherapy & Allied Healthcare,Health Care Providers & Services,Healthcare,86900,Other human health activities
Piano Tuning & Keyboard Service,Specialized Consumer Services,Consumer Goods & Services,95290,Repair of personal and household goods n.e.c.
Pianos & Accessories,Music Equipment,Retail,47591,Retail sale of musical instruments and scores
Piattaforma Video Professionale,Digital Services,Marketing & Advertising,59112,Video production activities
Pick Pack,Logistics & Transportation,Transportation & Logistics,82920,Packaging activities
Picture Frame Renovating & Restoring Service,Specialized Consumer Services,Consumer Goods & Services,95240,Repair of furniture and home furnishings
Processed Meats,Food & Beverage Industry,Manufacturing & Industrials,10130,Production of meat and poultry meat products
Pilates,Health Care Providers & Services,Healthcare,96040,Physical well-being activities
Pine Furniture,Furniture,Manufacturing & Industrials,31090,Manufacture of other furniture
Pipe Relining,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Pipeline Manufacturer,Industrial Equipment & Supplies,Manufacturing & Industrials,24200,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
Pipelines,Construction & Engineering,Construction & Materials,42210,Construction of utility projects for fluids
Pipework Contractors,Construction & Engineering,Construction & Materials,43220,"Plumbing, heat and air-conditioning installation"
Pizza Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Plant & Machinery Dealers,Industrial Equipment & Supplies,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment
Plant & Machinery Hire & Leasing,Equipment Rental,Manufacturing & Industrials,77320,Renting and leasing of construction and civil engineering machinery and equipment
Plant & Machinery Installation,Construction & Engineering,Construction & Materials,33200,Installation of industrial machinery and equipment
Plant & Machinery Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,28290,Manufacture of other general-purpose machinery n.e.c.
Plant & Machinery Repairs,Industrial Equipment & Supplies,Manufacturing & Industrials,33120,Repair of machinery
Plant Hire,Equipment Rental,Manufacturing & Industrials,77320,Renting and leasing of construction and civil engineering machinery and equipment
Plantbased Groceries,Food Retail,Consumer Goods & Services,47210,Retail sale of fruit and vegetables in specialised stores
Proteins,Food & Beverage Industry,Manufacturing & Industrials,10890,Manufacture of other food products n.e.c.
Plasma & LCD Screens,Electronics Retail,Retail,26400,Manufacture of consumer electronics
Plaster Ware,Building Materials & Products,Manufacturing & Industrials,23620,Manufacture of plaster products for construction purposes
