sub_industry,Industry,sector,sic_code,sic_description
Architectural Ironmongers,Metal Fabrication,Manufacturing & Industrials,25990,Manufacture of other fabricated metal products n.e.c.
Architectural Salvage,Building Materials & Products,Retail,46770,Wholesale of waste and scrap
Architectural Services,Architectural Services,Construction & Materials,71111,Architectural activities
Architectural Technologists,Architectural Services,Construction & Materials,71111,Architectural activities
Architectural Woodwork,Machinery & Manufacturing Services,Manufacturing & Industrials,16230,Manufacture of other builders' carpentry and joinery
Archivists,Records Management,Professional Services,91012,Archives activities
Argentinian Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Army Surplus Stores,Specialty Retail,Retail,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
Aromatherapy,Health Care Providers & Services,Healthcare,86900,Other human health activities
Art & Craft Materials,Art & Craft,"Media, Publishing & Entertainment",47599,"Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store"
Art Galleries & Fine Art Dealers,Art & Craft,"Media, Publishing & Entertainment",47781,Retail sale in commercial art galleries
Art Of Hosting,Hospitality Management & Services,Hospitality,82302,Activities of conference organisers
Art Print & Digital Font,Art & Craft,"Media, Publishing & Entertainment",18129,Printing n.e.c.
Art Restoration & Picture Cleaning,Art & Craft,Consumer Goods & Services,90030,Artistic creation
Art Supplies,Art & Craft,"Media, Publishing & Entertainment",47781,Retail sale in commercial art galleries
Articulated Vehicles,Automobiles,Automotive,29100,Manufacture of motor vehicles
Artificial Grass Suppliers,Garden Supplies,Retail,81300,Landscape service activities
Artificial Intelligence,AI Development,Information Technology,62012,Business and domestic software development
Beer Tank Solutions,Beverage Distribution,Manufacturing & Industrials,28930,"Manufacture of machinery for food, beverage and tobacco processing"
Artists & Illustrators,Art & Craft,"Media, Publishing & Entertainment",90030,Artistic creation
Arts & Crafts,Art & Craft,"Media, Publishing & Entertainment",90030,Artistic creation
Arts & Culture,Arts & Entertainment,"Media, Publishing & Entertainment",90010,Performing arts
Arts & Entertainment,Arts & Entertainment,"Media, Publishing & Entertainment",90010,Performing arts
Arts Centre,Arts & Entertainment,"Media, Publishing & Entertainment",90040,Operation of arts facilities
Artwork,Art & Craft,"Media, Publishing & Entertainment",90030,Artistic creation
Asbestos Air Monitoring,Environmental Engineering & Services,Manufacturing & Industrials,74901,Environmental consulting activities
Asbestos Awareness Training,Education Services,Education,85590,Other education n.e.c.
Asbestos Risk Management,Environmental Engineering & Services,Manufacturing & Industrials,74901,Environmental consulting activities
Asbestos Surveys & Removal,Environmental Engineering & Services,Manufacturing & Industrials,43999,Other specialised construction activities n.e.c.
Asbestos Surveys Management,Environmental Engineering & Services,Manufacturing & Industrials,74901,Environmental consulting activities
Asphalt And Macadam Suppliers,Building Materials & Products,Manufacturing & Industrials,23990,Manufacture of other non-metallic mineral products n.e.c.
Athlete,Travel & Leisure,Hospitality,93120,Activities of sport clubs
ATMs,Banks,Financial Services,82990,Other business support service activities n.e.c.
Attic & Roof Insulation Contractors,Construction Services,Construction & Materials,43290,Other construction installation
Attractions,Travel & Leisure,Hospitality,93210,Activities of amusement parks and theme parks
ATV (all Terrain Motorcycle) Quad Bike,Automobiles,Automotive,30910,Manufacture of motorcycles
Auctioneers & Valuers,Valuation Services,Professional Services,82990,Other business support service activities n.e.c.
Audio and Video Equipment Manufacturing,Household Goods & Services,Manufacturing & Industrials,26400,Manufacture of consumer electronics
Audio Visual Equipment & Accessories Supplies,Electronics Retail,Retail,46431,"Wholesale of audio tapes, records, CDs and video tapes and the equipment on which these are played"
Audio Visual Production Services,Media Production & Services,"Media, Publishing & Entertainment",59120,"Motion picture, video and television programme post-production activities"
Auto Electricians/Auto Electrical Services,Automotive Services,Consumer Goods & Services,45200,Maintenance and repair of motor vehicles
Auto Insurance Agency,Insurance,Financial Services,66210,Risk and damage evaluation
Auto Locksmiths,Automotive Services,Consumer Goods & Services,95290,Repair of personal and household goods n.e.c.
Auto Parts & Supplies,Auto Components,Automotive,45320,Retail trade of motor vehicle parts and accessories
Autogas Suppliers & Installers,"Oil, Gas & Consumable Fuels",Utilities & Energy,45310,Wholesale trade of motor vehicle parts and accessories
Automated Storage & Retrieval Systems,Industrial Equipment & Supplies,Manufacturing & Industrials,33200,Installation of industrial machinery and equipment
Automatic Gate System Manufacturers,Security Services & Equipment,Manufacturing & Industrials,25110,Manufacture of metal structures and parts of structures
Automation,Industrial Equipment & Supplies,Manufacturing & Industrials,33200,Installation of industrial machinery and equipment
Automation Systems & Equipment,Industrial Equipment & Supplies,Manufacturing & Industrials,33200,Installation of industrial machinery and equipment
Automobile,Automobiles,Automotive,29100,Manufacture of motor vehicles
Automobile Engine Parts & Component Manufacturers,Auto Components,Automotive,29320,Manufacture of other parts and accessories for motor vehicles
Automotive,Automobiles,Automotive,29100,Manufacture of motor vehicles
Automotive & Motor Retail,Automobiles,Automotive,45111,Sale of new cars and light motor vehicles
Automotive Components,Auto Components,Automotive,29320,Manufacture of other parts and accessories for motor vehicles
Automotive Repair Centre or Shop,Automotive Services,Consumer Goods & Services,45200,Maintenance and repair of motor vehicles
Aviation,Aviation,Transportation & Logistics,51102,Non-scheduled passenger air transport
Aviation and Aerospace Component Manufacturing,Aerospace & Defense,Manufacturing & Industrials,30300,Manufacture of air and spacecraft and related machinery
Aviation Engineers,Aerospace Engineering,Manufacturing & Industrials,30300,Manufacture of air and spacecraft and related machinery
Aviation Security,Security Services & Equipment,Professional Services,80100,Private security activities
Aviation Supplies,Aviation,Transportation & Logistics,46690,Wholesale of other machinery and equipment
Axle Supplies & Services,Auto Components,Automotive,29320,Manufacture of other parts and accessories for motor vehicles
B2B,Business Services,Professional Services,82990,Other business support service activities n.e.c.
B2C,E-commerce,Information Technology,47910,Retail sale via mail order houses or via Internet
Baby & Nursery Equipment,Specialty Retail,Retail,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
Baby Clothing,Apparel,Consumer Goods & Services,46420,Wholesale of clothing and footwear
Bottled Water Coolers,Beverage Distribution,Manufacturing & Industrials,28290,Manufacture of other general-purpose machinery n.e.c.
Baby Shower Services,Events Management,Professional Services,96090,Other service activities n.e.c.
